조사월,기온_C,야간기온_C,DIF,EC_dS_m,일사량_Wm2,slr_wma,관수량,경과일,GDD정규화,GDD정규화_sq,적산온도,누적일사량,CU_norm,연간CU,NDVI,ET0_mm,종형_T,종형_EC,줄기굵기_실측,엽장_실측,런너번호,꽃수,관부직경_mm,과실수대리,과당무게대리_g,수확량_kg_10a,당도_Brix,특품율
1,-1.2,-10.4,9.2,0.6,285.7,288.9,3.5,49.0,0.4097,0.1679,-2.9,1404.6,0.7934,935.0,0.4154,0.5,492.13,0.2469,3.5,13.0,2.0,13.467389111284296,6.02,10.74,16.4,795.0,7.69,0.423
11,9.8,-2.1,11.9,0.56,366.3,381.2,2.3,17.0,0.1424,0.0203,8.4,625.8,0.3315,565.0,0.2053,0.5,125.85,0.2947,3.33,15.1,3.0,19.02109364830641,5.73,13.93,19.9,795.0,6.09,0.453
2,0.7,-9.6,10.3,1.7,247.0,240.5,2.4,25.0,0.2053,0.0421,0.9,608.4,0.1949,456.0,0.2924,0.5,410.69,0.3551,6.54,10.0,4.0,25.0,11.25,17.71,14.0,795.0,6.65,0.352
12,2.1,-10.6,12.6,0.67,152.3,165.0,3.3,40.0,0.3312,0.1097,4.1,605.2,0.6469,818.0,0.4964,0.5,359.07,0.183,5.42,11.0,3.0,9.024303641954468,9.33,6.69,17.0,795.0,8.68,0.407
4,11.1,0.0,11.1,0.94,501.9,500.9,3.0,50.0,0.5077,0.2577,27.6,2492.8,0.6972,858.0,0.4539,0.5,97.35,0.0269,3.1,8.0,1.0,15.463784888119955,5.33,12.76,20.4,1038.4,9.82,0.465
1,-4.4,-14.7,10.3,1.38,266.4,258.2,3.4,25.0,0.2113,0.0447,-5.6,675.4,0.5701,756.0,0.4701,0.5,646.58,0.0798,5.52,10.0,3.0,16.815206676807136,9.5,12.47,15.1,795.0,7.75,0.497
2,6.1,-3.8,9.9,0.93,314.2,299.4,3.8,47.0,0.3952,0.1562,14.5,1490.3,0.7658,913.0,0.4311,0.5,221.16,0.0302,5.8,11.0,2.0,14.85580348089303,9.98,11.75,16.6,795.0,9.5,0.389
3,3.7,-5.0,8.7,1.18,389.0,368.7,1.9,28.0,0.2312,0.0535,5.1,1079.2,0.5944,776.0,0.5475,0.5,299.32,0.0059,4.66,10.0,2.0,14.085269795681535,8.02,11.04,16.2,795.0,9.17,0.408
3,7.3,-0.7,8.0,0.76,396.7,405.6,1.0,27.0,0.2263,0.0512,9.9,1077.2,0.7919,934.0,0.4376,0.5,187.64,0.1139,4.85,14.3,3.0,13.932293648311695,8.35,10.48,16.7,795.0,8.04,0.395
12,6.0,-5.1,11.1,0.95,261.9,264.1,2.6,17.0,0.142,0.0202,5.1,446.3,0.5944,775.0,0.2965,0.5,224.15,0.0222,4.57,11.8,3.0,18.819273986502296,7.86,13.99,16.7,795.0,5.96,0.426
4,18.1,9.1,9.1,0.3,541.2,545.9,0.5,43.0,0.9353,0.8748,38.7,2313.8,0.4885,691.0,0.7619,0.5,8.26,0.64,6.7,8.6,3.0,9.724994043720422,11.53,7.08,20.9,2005.4,10.64,0.483
4,14.8,3.4,11.3,1.65,523.6,516.2,3.6,38.0,0.615,0.3782,27.9,1980.6,0.6594,827.0,0.645,0.5,39.0,0.3064,4.68,9.5,1.0,15.17070911554872,8.05,12.51,19.1,1819.9,9.58,0.448
2,3.6,-10.3,13.8,1.17,489.8,489.8,0.1,13.0,0.1075,0.0116,2.3,631.7,0.5691,755.0,0.3589,0.5,304.23,0.0044,3.7,12.5,1.0,14.650278402709946,6.37,12.04,21.8,795.0,5.43,0.336
3,4.7,-7.3,11.9,1.56,374.8,373.0,2.7,55.0,0.4578,0.2096,12.8,2059.1,0.5297,724.0,0.5277,0.5,266.87,0.2154,10.52,10.5,2.0,13.196250075946278,18.1,10.32,17.6,795.0,8.99,0.494
3,6.4,-2.9,9.3,0.85,419.9,430.8,1.7,21.0,0.179,0.032,6.8,901.8,0.6929,854.0,0.3336,0.5,213.88,0.0642,5.7,12.5,1.0,12.27009272801289,9.81,10.36,17.9,795.0,5.69,0.393
2,2.6,-10.2,12.8,0.98,360.9,362.9,2.5,47.0,0.3915,0.1533,6.1,1695.4,0.8882,1011.0,0.5866,0.5,339.42,0.0147,3.69,14.5,3.0,13.321773381524189,6.35,10.1,19.5,795.0,7.38,0.443
2,3.9,-9.1,12.9,1.45,230.6,216.7,3.0,15.0,0.122,0.0149,2.8,337.6,0.5297,724.0,0.3322,0.5,292.7,0.1213,6.6,12.8,2.0,11.323973027893935,11.36,8.92,16.5,795.0,5.89,0.355
2,5.1,-5.0,10.1,1.05,322.5,306.3,2.4,13.0,0.1114,0.0124,3.4,431.0,0.3338,567.0,0.2609,0.5,251.64,0.0028,3.9,12.5,2.0,14.66077609422614,6.71,11.26,16.6,795.0,6.8,0.382
12,3.1,-6.3,9.5,1.43,242.4,247.1,3.6,23.0,0.1882,0.0354,3.5,547.5,0.6531,822.0,0.2759,0.5,320.07,0.1059,7.0,14.4,2.0,20.494786853624845,12.04,15.89,13.9,795.0,9.63,0.393
12,1.6,-11.6,13.2,0.94,298.1,305.4,3.8,13.0,0.1049,0.011,1.0,375.2,0.6461,817.0,0.3625,0.5,377.48,0.0241,3.4,13.0,3.0,13.7752929583956,5.85,10.25,18.9,795.0,8.96,0.382
4,14.5,0.9,13.7,1.14,603.9,610.7,0.8,31.0,0.4852,0.2354,22.2,1847.4,0.7685,915.0,0.625,0.5,42.03,0.0018,4.54,11.5,1.0,6.787567004167568,7.81,6.31,23.4,2060.8,9.07,0.432
2,1.4,-12.1,13.5,0.91,351.1,370.8,3.9,57.0,0.4718,0.2226,4.1,1987.8,0.5985,779.0,0.5785,0.5,382.27,0.0369,5.5,11.5,1.0,18.951382485384276,9.46,15.29,20.1,795.0,9.85,0.432
11,5.9,-3.0,8.9,0.85,261.6,277.1,3.0,19.0,0.1586,0.0251,5.7,497.9,0.7307,885.0,0.2592,0.5,226.83,0.062,6.1,13.0,3.0,12.450576308753126,10.5,9.32,15.3,795.0,8.36,0.374
1,-1.7,-15.6,13.9,0.53,278.0,274.7,3.1,49.0,0.4085,0.1668,-4.2,1362.5,0.6833,847.0,0.5525,0.5,515.39,0.3267,5.12,12.0,1.0,13.39827352830111,8.81,11.2,20.3,795.0,9.66,0.431
12,1.0,-12.4,13.4,0.83,130.3,136.8,3.3,63.0,0.5272,0.278,3.3,824.4,0.819,955.0,0.4482,0.5,398.87,0.0706,3.6,12.7,2.0,7.953299828711637,6.19,6.62,16.9,795.0,9.06,0.569
12,6.1,-4.7,10.8,0.64,224.0,218.3,1.6,49.0,0.4053,0.1643,14.9,1089.2,0.8682,995.0,0.5127,0.5,221.11,0.2118,4.65,11.6,2.0,12.699851751401413,8.0,10.22,16.7,795.0,7.32,0.414
2,2.2,-9.7,11.9,1.05,344.1,350.7,0.3,18.0,0.1525,0.0233,2.0,629.9,0.7825,926.0,0.2829,0.5,353.89,0.0029,6.2,12.5,3.0,11.535085617068919,10.67,8.68,18.4,795.0,6.46,0.358
1,-2.2,-13.0,10.8,0.7,274.6,263.9,0.3,43.0,0.3615,0.1307,-4.9,1190.9,0.8842,1007.0,0.5542,0.5,540.17,0.1637,4.2,13.0,4.0,20.463233823203183,7.23,14.85,17.3,795.0,7.5,0.398
4,16.5,6.3,10.2,1.81,492.6,490.4,2.1,58.0,1.0,1.0,47.9,2857.0,0.8303,964.0,0.9,0.5,19.96,0.5038,5.5,15.0,3.0,13.502015447146112,9.46,10.19,17.3,3511.3,11.2,0.553
2,3.0,-5.4,8.4,1.49,435.3,440.1,0.5,59.0,0.4931,0.2431,9.0,2575.5,0.7843,927.0,0.4735,0.5,323.08,0.1516,4.82,10.5,4.0,13.007660399827937,8.29,9.18,15.8,795.0,8.39,0.371
11,6.4,-6.8,13.2,1.32,220.3,208.5,1.7,48.0,0.3964,0.1572,15.2,1048.0,0.7947,936.0,0.4397,0.5,213.56,0.0492,4.7,15.0,3.0,9.751456219494724,8.09,7.35,16.9,795.0,8.35,0.525
12,4.7,-5.0,9.7,1.31,270.3,281.2,1.1,43.0,0.3576,0.1279,10.0,1159.7,0.7219,878.0,0.5067,0.5,266.85,0.0429,4.5,15.1,2.0,11.293020742891834,7.74,9.05,14.8,795.0,7.56,0.492
11,9.1,-3.0,12.2,0.42,353.1,359.3,3.6,39.0,0.3266,0.1067,17.9,1383.6,0.8363,969.0,0.3808,0.5,140.96,0.4615,5.4,8.8,1.0,14.35405117888995,9.29,12.03,20.3,795.0,7.99,0.42
4,17.4,4.3,13.1,0.75,558.6,567.8,2.1,27.0,0.5596,0.3132,23.5,1507.6,0.4755,680.0,0.6195,0.5,12.67,0.1233,3.6,13.0,1.0,14.381597486060155,6.19,11.77,23.3,2138.8,8.68,0.539
3,8.9,-2.4,11.2,0.3,366.6,373.1,0.2,54.0,0.4491,0.2017,23.9,1975.9,0.8902,1012.0,0.459,0.5,147.46,0.64,5.6,13.0,3.0,17.988431232870063,9.64,13.6,20.0,795.0,7.65,0.416
1,1.0,-7.6,8.5,0.83,285.5,282.4,1.6,10.0,0.0867,0.0075,0.5,297.1,0.7559,905.0,0.3147,0.5,401.84,0.0733,4.2,15.6,1.0,14.163547855417596,7.23,11.83,15.3,795.0,5.48,0.303
11,10.4,-2.1,12.5,1.09,307.8,295.3,3.1,33.0,0.3006,0.0904,17.3,1024.3,0.634,807.0,0.4659,0.5,111.94,0.0001,4.6,9.0,3.0,14.180018501852832,7.91,10.54,18.2,795.0,7.82,0.39
11,8.0,-3.3,11.2,1.44,280.9,270.4,1.4,62.0,0.5142,0.2644,24.6,1733.3,0.6276,802.0,0.494,0.5,169.83,0.1165,4.7,10.0,3.0,15.670529151415522,8.09,11.65,15.9,795.0,9.3,0.438
1,-1.2,-11.7,10.4,1.21,230.2,234.0,0.7,33.0,0.2754,0.0758,-2.1,760.9,0.7711,917.0,0.4328,0.5,494.81,0.0122,3.7,9.5,1.0,14.412194110108251,6.37,12.03,15.1,795.0,7.76,0.336
4,13.3,3.1,10.2,0.72,502.7,493.5,0.3,60.0,0.8228,0.677,39.6,2999.1,0.5742,759.0,0.7706,0.5,59.67,0.145,3.6,16.8,1.0,12.76463491045146,6.19,10.63,20.2,1958.6,8.67,0.585
1,-3.7,-14.7,11.0,1.16,461.6,449.4,2.3,14.0,0.118,0.0139,-2.6,653.4,0.3975,618.0,0.3704,0.5,611.17,0.0035,4.02,12.0,2.0,10.90892035393884,6.92,8.5,19.1,795.0,6.94,0.482
12,3.1,-5.2,8.3,1.42,259.7,257.4,3.7,45.0,0.3753,0.1409,7.0,1169.9,0.6271,802.0,0.5022,0.5,320.08,0.1032,5.0,17.3,4.0,16.042368424503795,8.6,11.33,13.3,795.0,8.9,0.467
11,8.5,-0.3,8.7,0.7,302.8,305.7,3.7,46.0,0.3872,0.1499,19.7,1407.2,0.4007,621.0,0.4765,0.5,156.66,0.1637,4.7,12.5,3.0,16.75980020131333,8.09,12.29,16.1,795.0,9.93,0.404
4,14.0,0.7,13.2,1.44,484.6,471.0,2.6,52.0,0.7727,0.5971,36.1,2507.6,0.7183,875.0,0.6935,0.5,49.55,0.1187,7.11,9.5,3.0,9.576843601209154,12.23,7.16,20.5,2755.8,10.02,0.616
1,-2.3,-15.2,12.9,1.55,249.2,266.3,0.9,28.0,0.231,0.0534,-3.2,690.8,0.6312,805.0,0.3305,0.5,541.88,0.2056,4.8,8.5,2.0,14.597753842345531,8.26,11.45,16.5,795.0,6.26,0.551
12,0.8,-11.1,11.9,1.51,301.3,296.3,1.0,24.0,0.1981,0.0392,1.0,716.2,0.7708,917.0,0.3029,0.5,407.04,0.1662,4.3,15.9,2.0,7.625472558072579,7.4,6.34,16.6,795.0,8.35,0.249
4,15.5,4.1,11.4,1.74,530.0,525.8,2.4,37.0,0.6538,0.4275,29.0,1981.1,0.4999,700.0,0.6437,0.5,30.29,0.4077,3.37,13.9,2.0,15.764550042415621,5.8,12.22,19.1,1980.7,9.06,0.394
3,9.1,-2.6,11.7,1.17,394.8,376.2,1.9,50.0,0.4184,0.1751,22.9,1982.2,0.4871,690.0,0.6063,0.5,141.51,0.0044,4.5,14.0,2.0,14.02115304965394,7.74,10.91,18.6,795.0,8.16,0.432
1,3.4,-10.0,13.4,0.78,197.3,191.2,3.2,33.0,0.2751,0.0757,5.6,651.3,0.6247,800.0,0.3564,0.5,310.09,0.1036,4.9,15.0,3.0,19.789506178088416,8.43,14.74,18.0,795.0,7.7,0.302
11,10.8,-2.2,13.0,1.06,278.2,266.3,0.9,60.0,0.579,0.3353,32.3,1663.0,0.9587,1067.0,0.478,0.5,103.78,0.0018,4.2,6.0,1.0,14.31783598991031,7.23,12.11,18.3,946.2,8.86,0.453
2,0.9,-11.2,12.1,0.3,315.1,307.8,3.1,21.0,0.1787,0.0319,0.9,675.7,0.3864,609.0,0.3582,0.5,405.14,0.64,5.3,19.6,2.0,15.551893000732814,9.12,11.97,20.0,795.0,8.07,0.368
2,5.0,-6.7,11.8,0.95,365.2,367.0,1.4,44.0,0.3678,0.1352,11.0,1611.7,0.6984,859.0,0.5338,0.5,255.79,0.0229,4.86,13.5,1.0,13.594492806030683,8.36,11.35,18.8,795.0,8.33,0.45
2,5.1,-4.7,9.8,1.36,287.0,301.0,3.2,23.0,0.1923,0.037,5.9,662.2,0.5237,719.0,0.4761,0.5,252.78,0.0651,4.7,14.2,3.0,13.081964348671459,8.09,9.63,15.1,795.0,7.73,0.412
4,14.0,1.7,12.3,1.21,549.5,556.2,1.2,40.0,0.5928,0.3514,27.7,2180.9,0.4107,629.0,0.7296,0.5,49.55,0.012,4.0,10.4,4.0,16.16034201323069,6.88,11.25,21.3,2002.5,8.72,0.567
11,7.5,-3.7,11.2,1.15,348.2,345.0,2.9,57.0,0.4724,0.2231,21.3,1974.0,0.6621,830.0,0.5776,0.5,181.82,0.003,4.1,12.0,2.0,16.27567192580619,7.05,12.74,17.6,795.0,9.13,0.421
4,17.5,5.2,12.2,1.9,520.9,525.9,1.4,48.0,0.9983,0.9966,42.0,2505.3,0.7091,867.0,0.8821,0.5,12.57,0.6394,4.27,11.0,2.0,11.209470458059801,7.35,8.97,19.1,2712.6,12.92,0.56
12,0.4,-12.0,12.3,1.69,212.6,201.3,0.1,58.0,0.4832,0.2335,1.1,1232.6,0.7255,880.0,0.4032,0.5,425.35,0.3495,3.2,11.0,1.0,13.389244162688426,5.51,11.22,15.1,795.0,8.46,0.473
3,10.9,-1.2,12.1,1.61,458.9,467.8,1.9,15.0,0.147,0.0216,8.1,682.5,0.7026,862.0,0.3232,0.5,101.43,0.2604,5.42,9.5,2.0,12.510704654254953,9.33,9.95,18.9,795.0,8.14,0.4
1,1.2,-11.6,12.8,1.48,176.5,183.1,1.4,24.0,0.2017,0.0407,1.4,427.3,0.7836,927.0,0.3596,0.5,392.91,0.1436,5.2,13.6,1.0,21.30479902341453,8.95,17.21,15.5,795.0,8.03,0.384
2,-3.7,-12.6,8.9,0.68,383.9,378.8,3.8,37.0,0.3115,0.0971,-6.9,1435.2,0.4803,684.0,0.4265,0.5,610.73,0.1792,3.8,8.3,1.0,16.736234276259708,6.54,13.54,17.5,795.0,8.87,0.416
2,2.2,-11.0,13.2,0.93,398.0,398.7,2.0,35.0,0.2893,0.0837,3.8,1381.8,0.7055,864.0,0.3023,0.5,352.97,0.0305,4.11,16.1,4.0,10.866210573108686,7.07,7.51,20.5,795.0,7.19,0.412
3,7.8,-1.5,9.3,1.28,489.0,509.5,1.1,35.0,0.2957,0.0874,13.8,1735.0,0.6319,805.0,0.4233,0.5,174.37,0.0332,4.9,10.0,1.0,14.349825932325976,8.43,11.87,17.8,795.0,6.3,0.425
1,-2.0,-14.8,12.8,0.8,290.5,283.7,2.5,12.0,0.1041,0.0108,-1.3,363.0,0.7398,892.0,0.2591,0.5,529.45,0.0889,3.6,10.5,4.0,11.283734974184158,6.19,7.85,18.9,795.0,7.36,0.266
3,8.3,-1.2,9.5,1.45,462.9,441.4,2.5,11.0,0.0938,0.0088,4.6,521.0,0.7551,904.0,0.1719,0.5,162.52,0.1218,6.2,12.0,1.0,14.365753435421981,10.67,11.98,17.2,795.0,7.92,0.302
2,-0.7,-13.2,12.5,0.65,358.5,364.7,2.1,42.0,0.3532,0.1248,-1.5,1519.5,0.6579,826.0,0.3871,0.5,470.81,0.1993,8.8,18.0,3.0,14.95073870793501,15.14,11.14,20.0,795.0,7.94,0.35
12,-1.5,-12.0,10.6,1.1,320.8,325.7,2.9,41.0,0.3429,0.1176,-3.0,1320.2,0.837,970.0,0.4669,0.5,504.63,0.0,5.6,7.1,3.0,13.41759160034551,9.64,10.13,16.8,795.0,9.7,0.424
11,7.4,-4.9,12.3,1.23,282.1,272.7,0.6,53.0,0.4416,0.195,19.6,1495.0,0.7053,864.0,0.5111,0.5,184.79,0.017,5.37,6.8,3.0,10.323854243585872,9.24,7.71,17.3,795.0,8.35,0.486
3,2.1,-9.8,11.9,1.11,376.6,367.4,1.2,24.0,0.2027,0.0411,2.6,916.1,0.6443,815.0,0.4525,0.5,357.1,0.0002,7.3,13.0,2.0,17.705280541451224,12.56,13.79,18.7,795.0,6.2,0.377
2,-0.1,-9.7,9.6,0.97,339.0,327.5,3.7,56.0,0.4652,0.2164,-0.4,1892.1,0.6771,842.0,0.4952,0.5,446.91,0.017,5.1,15.0,3.0,14.306105135122468,8.78,10.67,16.6,795.0,9.06,0.449
3,6.1,-2.1,8.2,0.37,449.6,450.8,2.4,51.0,0.4283,0.1834,15.7,2310.3,0.6219,798.0,0.3563,0.5,221.79,0.5345,6.25,14.0,2.0,16.048213164577703,10.75,12.53,18.7,795.0,8.22,0.402
4,10.1,-0.1,10.2,1.29,527.8,548.5,3.9,62.0,0.5218,0.2723,31.1,3265.7,0.4958,697.0,0.4386,0.5,119.68,0.0367,4.9,8.6,1.0,12.532543237274208,8.43,10.4,19.1,1080.0,10.76,0.503
1,0.7,-12.2,12.9,1.38,278.9,282.3,2.4,48.0,0.3988,0.159,1.6,1334.6,0.8446,976.0,0.3552,0.5,412.56,0.0778,4.0,13.1,4.0,14.896314391659223,6.88,10.65,17.4,795.0,8.77,0.469
1,2.8,-8.1,10.9,1.15,228.5,224.7,1.0,36.0,0.2965,0.0879,5.0,813.1,0.8153,952.0,0.3388,0.5,329.91,0.0024,5.32,13.0,2.0,18.665843378886976,9.15,14.65,15.6,795.0,8.09,0.517
3,5.6,-4.9,10.5,0.98,449.9,444.0,0.4,39.0,0.3264,0.1065,11.0,1762.4,0.4455,656.0,0.4592,0.5,236.32,0.0155,5.06,10.0,2.0,19.25685240067242,8.71,14.8,19.0,795.0,7.47,0.321
1,2.9,-6.3,9.2,1.14,349.0,353.9,1.5,54.0,0.4535,0.2056,7.8,1899.0,0.7688,915.0,0.6116,0.5,329.38,0.0014,7.11,12.0,2.0,15.62672799338968,12.23,12.34,16.0,795.0,10.2,0.326
4,12.5,3.1,9.4,0.78,501.4,475.7,1.7,23.0,0.2919,0.0852,14.6,1174.6,0.6057,785.0,0.2988,0.5,72.65,0.1029,3.7,8.5,1.0,9.880426944761034,6.37,8.49,19.4,795.0,7.4,0.323
3,11.3,1.8,9.5,1.28,313.2,328.3,2.3,11.0,0.1208,0.0146,6.5,358.1,0.3053,544.0,0.3338,0.5,93.3,0.034,5.8,11.0,2.0,21.032012643744363,9.98,16.02,15.4,795.0,7.29,0.458
12,1.9,-7.5,9.4,1.38,321.2,321.9,1.6,25.0,0.2056,0.0423,2.3,792.3,0.6982,859.0,0.3677,0.5,364.94,0.0783,5.65,13.0,1.0,16.248210830103794,9.72,13.34,15.2,795.0,5.42,0.505
1,1.1,-9.2,10.3,1.15,302.8,305.1,3.8,65.0,0.5376,0.289,3.6,1953.3,0.7477,898.0,0.5473,0.5,395.07,0.0025,4.9,10.3,3.0,12.218724023180453,8.43,9.16,16.2,795.0,8.54,0.338
1,-3.0,-11.1,8.0,1.66,297.9,303.1,0.0,55.0,0.4574,0.2092,-8.4,1635.4,0.88,1004.0,0.5556,0.5,578.15,0.313,4.67,13.5,4.0,16.553136047961186,8.04,11.92,13.0,795.0,8.35,0.446
11,9.2,-2.2,11.4,0.88,366.0,377.7,1.9,41.0,0.3424,0.1172,18.9,1503.7,0.6658,833.0,0.4151,0.5,138.81,0.0493,5.14,9.3,3.0,14.173395809803456,8.84,10.56,18.7,795.0,7.75,0.45
1,-0.1,-13.1,13.1,1.12,280.9,282.3,2.7,16.0,0.1342,0.018,-0.0,452.2,0.769,915.0,0.1894,0.5,443.26,0.0006,5.1,11.6,4.0,16.719848021703733,8.78,11.96,18.2,795.0,6.1,0.326
1,-2.4,-12.0,9.6,0.68,229.6,216.7,3.3,46.0,0.3803,0.1447,-5.6,1048.0,0.7295,884.0,0.438,0.5,549.1,0.178,4.4,12.5,1.0,11.907562034897223,7.57,10.11,15.7,795.0,8.62,0.378
2,1.2,-7.7,8.9,0.6,283.4,246.9,3.8,53.0,0.4436,0.1968,3.2,1508.6,0.6383,811.0,0.4772,0.5,392.38,0.248,5.2,6.5,3.0,13.908327152910402,8.95,10.34,16.2,795.0,9.6,0.449
4,14.7,4.9,9.8,0.86,568.3,571.9,1.5,61.0,0.9823,0.965,44.6,3443.2,0.5812,765.0,0.8194,0.5,39.33,0.0584,5.24,15.1,2.0,19.606396202854416,9.02,15.17,20.5,3130.1,11.38,0.473
3,5.7,-6.9,12.6,1.1,426.2,432.4,3.7,34.0,0.2795,0.0781,9.6,1429.7,0.5993,779.0,0.5027,0.5,234.07,0.0,3.6,13.5,1.0,15.234419224715051,6.19,12.51,20.1,795.0,8.06,0.491
1,-3.8,-17.8,14.0,1.14,300.6,291.1,3.3,12.0,0.1006,0.0101,-2.3,362.8,0.7853,928.0,0.2793,0.5,614.65,0.0013,3.5,17.3,3.0,13.963103263396759,6.02,10.5,19.2,795.0,7.69,0.439
3,9.0,-4.2,13.2,0.5,408.9,403.6,2.0,16.0,0.136,0.0185,7.3,667.1,0.8706,997.0,0.2459,0.5,143.84,0.358,4.8,13.5,3.0,11.217527746824047,8.26,8.51,21.7,795.0,6.43,0.407
2,1.2,-10.1,11.4,1.14,285.1,258.1,1.7,18.0,0.1498,0.0224,1.1,512.5,0.9548,1064.0,0.4076,0.5,391.55,0.0016,3.8,10.0,2.0,16.20680593597122,6.54,12.92,16.8,795.0,5.85,0.447
4,9.4,-0.7,10.2,1.58,435.3,443.1,1.2,42.0,0.3476,0.1208,19.7,1815.9,0.6498,820.0,0.438,0.5,133.47,0.2329,5.36,13.8,1.0,12.318746828730038,9.22,10.36,17.0,795.0,8.27,0.398
12,1.4,-8.1,9.5,0.47,247.3,242.0,1.9,13.0,0.1119,0.0125,0.9,332.2,0.9075,1026.0,0.2892,0.5,385.38,0.4009,5.5,10.5,1.0,11.20963827040703,9.46,9.73,16.4,795.0,5.15,0.354
11,10.3,-0.7,11.0,1.28,285.4,281.4,3.6,56.0,0.4924,0.2424,28.8,1600.2,0.6761,841.0,0.5172,0.5,115.14,0.0315,5.54,12.0,2.0,16.322547251551846,9.53,12.78,16.2,1117.4,9.59,0.536
